Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2021-05-23,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,185,1770.0,1730.0,1747.0,13930.0,24454502.0,1767.0,-20.0,Microfinance
2021-05-23,NLG Insurance Company Ltd.,NLG,226,1180.0,1150.0,1177.0,24510.0,28720775.0,1173.0,4.0,Non Life Insurance
2021-05-23,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,155,1564.0,1537.0,1556.0,11232.0,17482440.0,1568.0,-12.0,Microfinance
2021-05-23,NMB 50,NMB50,25,13.2,13.0,13.07,96900.0,1265206.0,13.0,0.07,Mutual Fund
2021-05-23,NMB Bank Limited,NMB,1146,436.0,417.0,436.0,208985.0,89974690.0,429.0,7.0,Commercial Banks
2021-05-23,NMB Hybrid Fund L-1,NMBHF1,11,11.95,11.8,11.95,9809.0,116506.17,11.86,0.09,Mutual Fund
2021-05-23,NRN Infrastructure and Development Limited,NRN,1253,790.0,731.0,769.0,119862.0,91596111.0,760.0,9.0,Others
2021-05-23,Oriental Hotels Limited,OHL,152,460.0,434.0,455.0,15621.0,6997044.0,460.0,-5.0,Hotels
2021-05-23,Panchakanya Mai Hydropower Ltd,PMHPL,222,281.0,248.0,265.0,15310.0,4074628.0,263.0,2.0,Hydro Power
2021-05-23,Panchthar Power Compant Limited,PPCL,289,369.0,342.0,350.0,25332.0,8867722.0,342.0,8.0,Hydro Power
2021-05-23,Pokhara Finance Ltd.,PFL,1028,373.0,325.0,373.0,153947.0,55247290.0,340.0,33.0,Finance
2021-05-23,Prabhu Bank Limited,PRVU,893,457.0,433.0,455.0,217466.0,98012799.0,448.0,7.0,Commercial Banks
2021-05-23,Prabhu Insurance Ltd.,PRIN,183,900.0,869.0,890.0,24356.0,21724124.0,886.0,4.0,Non Life Insurance
2021-05-23,Prabhu Life Insurance Limited,PLI,846,807.0,787.0,804.0,26948.0,21586272.0,806.0,-2.0,Life Insurance
2021-05-23,Premier Insurance Co. Ltd.,PIC,158,1295.0,1250.0,1288.0,13904.0,17785781.0,1285.0,3.0,Non Life Insurance
2021-05-23,Prime Commercial Bank Ltd.,PCBL,678,449.0,433.0,449.0,117120.0,51936215.0,445.0,4.0,Commercial Banks
2021-05-23,Prime Life Insurance Company Limited,PLIC,335,939.0,873.0,923.0,50001.0,45642940.0,905.0,18.0,Life Insurance
2021-05-23,ProgressiveFinance Limited,PROFL,944,280.0,245.0,272.0,335136.0,89089039.0,261.0,11.0,Finance
2021-05-23,Prudential Insurance Co. Ltd.,PICL,253,828.0,797.0,816.0,24818.0,20189818.0,812.0,4.0,Non Life Insurance
2021-05-23,Radhi Bidyut Company Ltd,RADHI,598,905.0,873.0,900.0,74244.0,66399193.0,897.0,3.0,Hydro Power
2021-05-23,Rairang Hydropower Development Company Ltd.,RRHP,258,440.0,394.0,418.0,22830.0,9470573.0,401.0,17.0,Hydro Power
2021-05-23,Rastriya Beema Company Limited,RBCL,81,20000.0,19208.0,19600.0,1830.0,35895710.0,19750.0,-150.0,Non Life Insurance
2021-05-23,Rastriya Beema Company Limited Promoter Share,,63,16630.0,16170.0,16200.0,2257.0,36765097.0,16625.0,-425.0,
2021-05-23,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,869,500.0,469.0,488.0,90667.0,44247022.0,486.0,2.0,Hydro Power
2021-05-23,Reliance Finance Ltd.,RLFL,1594,331.0,290.0,330.0,329998.0,105045547.0,305.0,25.0,Finance
2021-05-23,Reliance Life Insurance Limited,RLI,822,710.0,680.0,708.0,38115.0,26779676.0,710.0,-2.0,Life Insurance
2021-05-23,Ridi Hydropower Development Company Ltd.,RHPC,604,384.0,349.0,361.0,158653.0,58025833.0,366.0,-5.0,Hydro Power
2021-05-23,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,456,1305.0,1248.0,1300.0,50246.0,65042460.0,1285.0,15.0,Microfinance
2021-05-23,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,319,912.0,879.0,904.0,23878.0,21549704.0,912.0,-8.0,Microfinance
2021-05-23,Ru Ru Jalbidhyut Pariyojana Limited,RURU,925,1179.0,1030.0,1083.0,10376.0,11227161.0,1125.0,-42.0,Hydro Power
2021-05-23,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,90,1910.0,1855.0,1896.0,3594.0,6801087.0,1907.0,-11.0,Microfinance
2021-05-23,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,201,1705.0,1650.0,1705.0,12016.0,20222767.0,1685.0,20.0,Microfinance
2021-05-23,Sagarmatha Insurance Co. Ltd.,SIC,321,1680.0,1627.0,1668.0,22721.0,37747862.0,1680.0,-12.0,Non Life Insurance
2021-05-23,Salt Trading Corporation,STC,152,11016.0,10555.0,10900.0,2509.0,27194139.0,10770.0,130.0,Tradings
2021-05-23,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,1218,2048.0,1770.0,1807.0,61131.0,114199922.0,1876.0,-69.0,Microfinance
2021-05-23,Samriddhi Finance Company Limited,SFCL,961,328.0,291.0,328.0,203279.0,64414072.0,299.0,29.0,Finance
2021-05-23,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,107,1693.0,1630.0,1676.0,7015.0,11750230.0,1693.0,-17.0,Microfinance
2021-05-23,Sana Kisan Bikas Bank Ltd,SKBBL,243,1786.0,1671.0,1697.0,14384.0,24427485.0,1701.0,-4.0,Microfinance
2021-05-23,Sanima Bank Limited,SANIMA,1128,436.0,414.0,435.0,251636.0,107560615.0,424.0,11.0,Commercial Banks
2021-05-23,Sanima Equity Fund,SAEF,56,14.94,14.65,14.94,465410.0,6918312.4,14.68,0.26,Mutual Fund
2021-05-23,Sanima General Insurance Limited,SGI,469,790.0,776.0,785.0,19443.0,15247925.0,790.0,-5.0,Non Life Insurance
2021-05-23,Sanima Large Cap Fund,SLCF,40,9.97,9.8,9.93,11150.0,110463.5,9.97,-0.04,Mutual Fund
2021-05-23,Sanima Mai Hydropower Ltd.,SHPC,401,418.0,393.0,416.0,108368.0,44687260.0,407.0,9.0,Hydro Power
2021-05-23,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,813,469.0,437.0,454.0,74586.0,33866756.0,450.0,4.0,Hydro Power
2021-05-23,Saptakoshi Development Bank Ltd,SAPDBL,808,268.0,233.0,268.0,175277.0,45590690.0,244.0,24.0,Development Banks
2021-05-23,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,91,1828.0,1715.0,1742.0,5746.0,10019648.0,1741.0,1.0,Microfinance
2021-05-23,Shangrila Development Bank Ltd.,SADBL,1132,310.0,270.0,310.0,345277.0,103489216.0,282.0,28.0,Development Banks
2021-05-23,Shikhar Insurance Co. Ltd.,SICL,652,2150.0,2080.0,2134.0,35065.0,74698596.0,2149.0,-15.0,Non Life Insurance
2021-05-23,Shine Resunga Development Bank Ltd.,SHINE,1277,337.0,304.0,335.0,258954.0,84534553.0,315.0,20.0,Development Banks
2021-05-23,Shiva Shree Hydropower Ltd,SSHL,586,283.0,253.0,276.0,142748.0,38789153.0,266.0,10.0,Hydro Power
2021-05-23,SHIVAM CEMENTS LTD,SHIVM,505,1510.0,1460.0,1505.0,44945.0,67375737.0,1507.0,-2.0,Manufacturing And Processing
2021-05-23,Shree Investment Finance Co. Ltd.,SIFC,582,336.0,291.0,336.0,198596.0,64269865.0,306.0,30.0,Finance
2021-05-23,Siddhartha Bank Limited,SBL,871,451.0,426.0,446.0,241805.0,106940537.0,439.0,7.0,Commercial Banks
2021-05-23,Siddhartha Equity Fund,SEF,35,12.76,12.28,12.76,172534.0,2178824.48,12.5,0.26,Mutual Fund
