,Stock Name,Stock Symbol,Sector
147,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
148,Multipurpose Finance Company Limited,MPFL,Finance
149,NABIL BALANCED FUND-2,NBF2,Mutual Fund
150,Nabil Bank Limited,NABIL,Commercial Banks
151,Nabil Equity Fund,NEF,Mutual Fund
152,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance
153,NagBeli LaghuBitta Bikas Bank Ltd.,NBBL,Microfinance
154,Narayani Development Bank Limited,NABBC,Development Banks
155,National Hydro Power Company Limited,NHPC,Hydro Power
156,National Life Insurance Co. Ltd.,NLICL,Life Insurance
157,National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance
158,Neco Insurance Co. Ltd.,NIL,Non Life Insurance
159,Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance
160,Nepal Bangladesh Bank Limited,NBB,Commercial Banks
161,Nepal Bank Limited,NBL,Commercial Banks
162,Nepal Bitumin And Barrel Udhyog Limited,NBBU,Manufacturing And Processing
163,Nepal Community Development Bank Ltd.,NCDB,Development Banks
164,Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks
165,Nepal Doorsanchar Comapany Limited,NTC,Others
166,Nepal Film Development Company Limited,NFD,Others
167,Nepal Finance Ltd.,NFS,Finance
168,Nepal Hydro Developers Ltd.,NHDL,Hydro Power
169,Nepal Infrastructure Bank Limited,NIFRA,Others
170,Nepal Insurance Co. Ltd.,NICL,Non Life Insurance
171,Nepal Investment Bank Limited,NIB,Commercial Banks
172,Nepal Khadya Udhyog Limited,NKU,Manufacturing And Processing
173,Nepal Life Insurance Co. Ltd.,NLIC,Life Insurance
174,Nepal Lube Oil Limited,NLO,Manufacturing And Processing
175,Nepal Reinsurance Company Limited,NRIC,Others
176,Nepal SBI Bank Limited,SBI,Commercial Banks
177,Nepal Seva Laghubitta Bittiya Sanstha Ltd.,NSEWA,Microfinance
178,Nepal Share Markets Ltd.,NSM,Finance
179,Nepal Tading Limited,NTL,Tradings
180,Nepal Vanaspati Ghee Udhyog Limited,NVG,Manufacturing And Processing
181,Nepal Welfare Company Limited,NWC,Tradings
182,Nerude Laghubita Bikas Bank Limited,NLBBL,Microfinance
183,Ngadi Group Power Ltd.,NGPL,Hydro Power
184,NIBL Pragati Fund,NIBLPF,Mutual Fund
185,NIBL Samriddhi Fund 1,NIBSF1,Mutual Fund
186,NIC Asia Balanced Fund,NICBF,Mutual Fund
187,NIC Asia Bank Ltd.,NICA,Commercial Banks
188,NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture
189,NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture
190,NIC Asia Growth Fund,NICGF,Mutual Fund
191,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance
192,NIDC Development Bank Ltd.,NIDC,Development Banks
193,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance
194,NLG Insurance Company Ltd.,NLG,Non Life Insurance
195,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance
196,NMB 50,NMB50,Mutual Fund
197,NMB Bank Limited,NMB,Commercial Banks
198,NMB Hybrid Fund L-1,NMBHF1,Mutual Fund
199,NRN Infrastructure and Development Limited,NRN,Others
200,Om Development Bank Ltd.,ODBL,Development Banks
201,Oriental Hotels Limited,OHL,Hotels
202,Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power
203,Panchthar Power Compant Limited,PPCL,Hydro Power
204,Pokhara Finance Ltd.,PFL,Finance
205,Prabhu Bank Limited,PRVU,Commercial Banks
206,Prabhu Insurance Ltd.,PRIN,Non Life Insurance
207,Prabhu Life Insurance Limited,PLI,Life Insurance
208,Premier Insurance Co. Ltd.,PIC,Non Life Insurance
209,Prime Commercial Bank Ltd.,PCBL,Commercial Banks
210,Prime Life Insurance Company Limited,PLIC,Life Insurance
211,ProgressiveFinance Limited,PROFL,Finance
212,Prudential Insurance Co. Ltd.,PICL,Non Life Insurance
213,Purnima Bikas Bank Ltd.,PURBL,Development Banks
214,Radhi Bidyut Company Ltd,RADHI,Hydro Power
215,Raghupati Jute Mills Limited,RJM,Manufacturing And Processing
216,Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power
217,Rastriya Beema Company Limited,RBCL,Non Life Insurance
218,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power
219,Reliance Finance Ltd.,RLFL,Finance
220,Reliance Life Insurance Limited,RLI,Life Insurance
221,Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power
222,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance
223,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance
224,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power
225,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance
226,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance
227,Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance
228,Sahara Bikas Bank Ltd.,SHBL,Development Banks
229,Sahayogi Bikas Bank Limited,SBBLJ,Development Banks
230,Salt Trading Corporation,STC,Tradings
231,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance
232,Samjhana Finance Co. Ltd.,SFC,Finance
233,Samriddhi Finance Company Limited,SFCL,Finance
234,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance
235,Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance
236,Sanima Bank Limited,SANIMA,Commercial Banks
237,Sanima Bank Limited Debenture,SAND2085,Corporate Debenture
238,Sanima Equity Fund,SAEF,Mutual Fund
239,Sanima General Insurance Limited,SGI,Non Life Insurance
240,Sanima Large Cap Fund,SLCF,Mutual Fund
241,Sanima Mai Hydropower Ltd.,SHPC,Hydro Power
242,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power
243,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks
244,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Microfinance
245,Shangrila Development Bank Ltd.,SADBL,Development Banks
246,Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance
247,Shine Resunga Development Bank Ltd.,SHINE,Development Banks
248,Shiva Shree Hydropower Ltd,SSHL,Hydro Power
249,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing
250,Shree Bhrikuti Pulp And Paper Limited,SBPP,Manufacturing And Processing
251,Shree Investment Finance Co. Ltd.,SIFC,Finance
252,Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing
253,Shrijana Finance (Bittaya Sanstha),SFFIL,Finance
254,Siddhartha Bank Limited,SBL,Commercial Banks
255,Siddhartha Equity Fund,SEF,Mutual Fund
256,Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund
257,Siddhartha Insurance Ltd.,SIL,Non Life Insurance
258,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund
259,Sindhu Bikash Bank Ltd,SINDU,Development Banks
260,Singati Hydro Energy Limited,SHEL,Hydro Power
261,Soaltee Hotel Limited,SHL,Hotels
262,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance
263,Standard Chartered Bank Limited,SCB,Commercial Banks
264,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance
265,Sunrise Bank Limited,SRBL,Commercial Banks
266,Sunrise First Mutual Fund,SFMF,Mutual Fund
267,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance
268,Surya Life Insurance Company Limited,SLICL,Life Insurance
269,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance
270,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance
271,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance
272,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance
273,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance
274,Synergy Finance Ltd.,SYFL,Finance
275,Synergy Power Development Ltd.,SPDL,Hydro Power
276,Taragaon Regency Hotel Limited,TRH,Hotels
277,Taragaon Regency Hotels Ltd. Preference Share,TRHPR,Preferred Stock
278,Tinau Mission Development Bank Limited,TMDBL,Development Banks
279,Unilever Nepal Limited,UNL,Manufacturing And Processing
280,Union Hydropower Limited,UNHPL,Hydro Power
281,United Finance Ltd.,UFL,Finance
282,United IDI Mardi RB Hydropower Limited.,UMRH,Hydro Power
283,United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance
284,United Modi Hydropower Ltd.,UMHL,Hydro Power
285,UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power
286,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance
287,Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power
288,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance
289,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance
290,Yak And Yeti Hotel Limited,YHL,Hotels
291,10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture
292,10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture
293,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture
294,9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture
295,9.5% NCC Debenture 2086,NCCD86,Corporate Debenture
296,CEDB Hydropower Development Company Limited,CHDC,Investment
297,Citizen Investment Trust,CIT,Investment
300,Sunrise Bluechip Fund,SBCF,Mutual Fund
